date,open,high,low,close,volume
2024-01-01,100.00,105.00,99.00,103.00,1000000
2024-01-02,103.00,108.00,102.00,107.00,1200000
2024-01-03,107.00,110.00,106.00,109.00,1100000
2024-01-04,109.00,112.00,108.00,111.00,900000
2024-01-05,111.00,100.00,115.00,113.00,1300000
2024-01-06,113.00,118.00,112.00,116.00,1400000
2024-01-07,116.00,120.00,115.00,119.00,1000000
2024-01-08,119.00,122.00,118.00,,800000
2024-01-09,120.00,125.00,119.00,123.00,950000
2024-01-10,123.00,126.00,122.00,125.00,1100000
2024-01-10,125.00,128.00,124.00,127.00,1050000
2024-01-11,127.00,130.00,110.00,128.00,1200000
2024-01-12,128.00,132.00,127.00,131.00,-500000
2024-01-13,-130.00,135.00,129.00,133.00,1300000
2024-01-20,133.00,138.00,132.00,136.00,1400000
2024-01-21,136.00,155.00,135.00,152.00,2000000
2024-01-22,152.00,158.00,150.00,130.00,1800000
2024-01-23,130.00,135.00,128.00,132.00,1100000
2024-01-24,132.00,136.00,131.00,134.00,1000000
2024-01-25,,138.00,133.00,136.00,1050000
